code,drug_name,matched_product_name_en,matched_product_name_ar,matched_store_product_id,match_score,verified,match_method
87848,MELLITOFIX TRIO 10/5/1000 30 F.C. TABLETS,MELLITOFIX TRIO 10 / 5 / 1000 MG 30 F.C. TABS,ميليتوفكس تريو 10 / 5 / 1000 مجم 30 اقراص,1833426.0,81.0,ai_confirmed,ai_verified
87891,MELLITOFIX TRIO 25/5/1000 MG 30 TABLET,,,,,,no_match
90927,MELO OINT. 30 GM,MELO 0.25 % OINT . 30 GM,ميلو مرهم 30 جم,1741014.0,81.1,ai_confirmed,ai_verified
62113,MELOCAM 15 MG 30 TAB,MELOCAM 15 MG 30 TAB.,ميلوكام 15 مجم 30 اقراص,905235.0,100.0,algo_match,brand_index
75235,MELOCAM 7.5 MG 20 TAB,MELOCAM 7.5 MG 20 TAB.,ميلوكام 7.5 مجم 20 اقراص,2369296.0,100.0,algo_match,brand_index
80152,MELOFLAM 30 TABLETS,,,,,,no_match
74011,MELOQUIN CREAM,MELOQUIN 4 % CREAM 20 GM,ميلوكين 4 % كريم 20 جم,905239.0,100.0,algo_match,token_set_ratio
47536,MELOXICAM 15MG TAB,MELOXICAM 15 MG 10 TAB.,ميلوكسيكام 15 مجم 10 اقراص,2345500.0,80.0,ai_confirmed,ai_verified
49809,MELOXICAM 3 AMP,MELOXICAM AMRIYA 15 MG / 2 ML 3 AMP.,ميلوكسيكام 15 مجم / 2 مل 3 امبول العامريه,2145764.0,100.0,algo_match,token_set_ratio
60917,MEMEXA 15 ML ORAL DROPS,MEMEXA 10 MG / ML ORAL DROPS 15 ML,ميمكسا 10 مجم / مل قطره فم 15 مل,2144634.0,80.7,ai_confirmed,ai_verified
86888,MEMEXA 10 MG 30 F.C.TABS,MEMEXA 10 MG 30 F.C.TABS.,ميمكسا 10 مجم 30 اقراص,1601313.0,100.0,algo_match,brand_index
78042,MEMEXA 10MG 20 TABS,,,,,,no_match
90619,MEMOCITO plus cap,MEMOCITO PLUS 30 CAP,ميموسيتو بلس 30 كبسول,2533024.0,91.9,algo_match,brand_index
90531,MEMOCITO SYRP,,,,,,no_match
92677,MEMONDO 150 ML SYRUP,MEMONDO SYRUP 150 ML,ميموندو شراب 150 مل,2582700.0,100.0,algo_match,brand_index
84802,MEMONTIX 60 CAPS,MEMONTIX 60 CAPS.,ميمونتكس 60 كبسول,1445171.0,100.0,algo_match,brand_index
92686,MEMOPURA 120 ML SYRUP,MEMO PURA SYRUP 120 ML,ميمو بيورا شراب 120 مل,2499579.0,83.7,ai_confirmed,ai_verified
87437,memphis panthenol cream 30mg,MEMPHIS PANTHENOL CREAM 30 GM,ممفيس بانثينول كريم 30 جم,2377182.0,91.2,algo_match,brand_index
91465,MENOPACE 30 TAB,,,,,,no_match
73359,MENOPACE PLUS TAB(VITABIOTIC),,,,,,no_match
67216,MENTOPLEX20CAPS,,,,,,no_match
90601,menzofolic 30tab,MENZOFLIC 30 TABS,مينزوفيلك 30 اقراص,2530620.0,85.7,ai_confirmed,ai_verified
75875,MEPACO GREEN TEA 20 TABS,,,,,,no_match
19578,MEPAFURAN 100MG CAP,MEPAFURAN 100 MG 20 CAPS.,ميبافوران 100 مجم 20 كبسول,1685986.0,84.2,ai_confirmed,ai_verified
19506,MEPAFURAN 50MG CAP,MEPAFURAN 50 MG 20 CAPS.,ميبافوران 50 مجم 20 كبسول,1757349.0,88.9,ai_confirmed,ai_verified
68781,MEPAPHAGE 500 MG 30 TAB,MEPAPHAGE 500 MG 30 TAB.,ميبافاج 500 مجم 30 اقراص,2161464.0,100.0,algo_match,brand_index
84233,MEPAPHAGE XR 1000MG 30 TAB,MEPAPHAGE XR 1000 MG 30 F.C.TAB.,ميبافاج اكس ار 1000 مجم 30 اقراص,2471785.0,84.2,ai_confirmed,ai_verified
36237,MEPASIL TAB,,,,,,no_match
