code,drug_name,matched_product_name_en,matched_product_name_ar,matched_store_product_id,match_score
87239,ADWIFLAM 50 MG SACHETS,ADWIFLAM 50 MG 10 SACHETS,ادويفلام 50 مجم 10 اكياس,2468162,93.6
46283,ADWIFLAM 50.ER. 20CAP,,,,
adw,ADWIFLAM 6 AMP,,,,
79751,ADWIFLAM GEL 50 GM,ADWIFLAM EMULGEL 50 GM,ادويفلام ايملجل 50 جم,2319764,90.0
87065,ADWIFLOXACEN 400 MG 7 TABS,ADWIFLOXACEN 400 MG 7 F.C. TABS.,ادويفلوكساسين 400 مجم 7 اقراص,1772498,92.9
90822,ADWISTADINE 5MG 30TAB,,,,
78750,ADWITINE 30 MG 30 CAP,ADWITINE 30 MG 30 CAPS.,ادويتين 30 مجم 30 كبسول,2508703,97.7
78751,ADWITINE 60MG 30 CAPS,,,,
73298,AERIUS 5 MG 20 TAB,AERIUS 5 MG 20 F.C.TAB.,ايريوس 5 مجم 20 اقراص,2607384,90.0
87033,AFROMED 30 CAPS,AFROMED 30 CAPS.,افروميد 30 قرص,1119781,100.0
67288,AFTER MEALS 20 CAPS.,,,,
92368,AGAR ORAL DROP,,,,
59477,AGERA AHA CREAM 50 ML,,,,
